geoid,name,B15002001,"B15002001, Error",B15002002,"B15002002, Error",B15002003,"B15002003, Error",B15002004,"B15002004, Error",B15002005,"B15002005, Error",B15002006,"B15002006, Error",B15002007,"B15002007, Error",B15002008,"B15002008, Error",B15002009,"B15002009, Error",B15002010,"B15002010, Error",B15002011,"B15002011, Error",B15002012,"B15002012, Error",B15002013,"B15002013, Error",B15002014,"B15002014, Error",B15002015,"B15002015, Error",B15002016,"B15002016, Error",B15002017,"B15002017, Error",B15002018,"B15002018, Error",B15002019,"B15002019, Error",B15002020,"B15002020, Error",B15002021,"B15002021, Error",B15002022,"B15002022, Error",B15002023,"B15002023, Error",B15002024,"B15002024, Error",B15002025,"B15002025, Error",B15002026,"B15002026, Error",B15002027,"B15002027, Error",B15002028,"B15002028, Error",B15002029,"B15002029, Error",B15002030,"B15002030, Error",B15002031,"B15002031, Error",B15002032,"B15002032, Error",B15002033,"B15002033, Error",B15002034,"B15002034, Error",B15002035,"B15002035, Error"
04000US13,Georgia,6996425,2142,3319422,1896,51146,2256,20841,1579,40713,1953,51673,2066,59631,2003,81122,2613,79736,3011,63460,2236,963114,9337,181163,4593,468118,6117,228379,5008,644377,7548,258195,4780,78837,2389,48917,2129,3677003,1577,49371,1838,15520,1400,34987,2021,47642,1740,49221,2457,67893,2569,75632,2402,60065,2311,962260,10218,219071,4418,541665,7508,331340,5211,732934,7134,360916,6588,78704,2472,49782,1632
04000US15,Hawaii,996423,187,490265,127,4852,481,2116,372,3681,504,3181,387,3813,505,5096,522,5131,570,6852,508,141776,2005,28504,1039,75825,1808,52479,1561,102092,2230,33593,1229,12643,811,8631,783,506158,139,6016,550,3150,438,6956,756,4557,478,3642,485,4520,517,4813,618,6499,719,130255,2202,29588,1284,72891,1991,55741,1561,116587,2181,44046,1352,10376,715,6521,546
04000US16,Idaho,1145344,845,566682,702,5588,603,2722,394,5307,557,5262,639,5310,592,8227,725,10394,888,11306,816,157384,2891,44583,1538,95814,2382,51912,1927,103612,2414,37814,1905,11681,1134,9766,805,578662,653,4984,650,2630,424,4586,617,4657,623,4783,589,7138,752,9129,710,8166,828,148333,2680,52082,1687,105936,2748,60764,1880,117480,2681,36439,1659,6453,710,5102,765
04000US17,Illinois,8686700,1237,4192319,1155,60515,1969,20974,1221,55535,1908,60311,1878,45449,1623,61582,1971,72524,2041,85948,2163,1114407,8877,269669,4008,581460,5504,310664,3706,895556,7523,376657,4336,115284,2322,65784,2095,4494381,938,60785,2086,23239,1178,56135,2309,63847,1903,37617,1677,55014,1705,65923,2000,72940,2398,1106002,7946,308735,3910,615684,6569,396467,4691,979455,6942,508130,5857,90871,2703,53537,1978
04000US18,Indiana,4466180,1251,2157438,1086,23597,1298,6251,598,13055,793,40132,1709,32142,1550,43897,1651,48428,1876,38268,1584,748796,6292,144102,3157,281221,4418,166998,3505,365106,5306,136800,3236,39449,1544,29196,1128,2308742,950,23234,1143,6343,688,10819,913,35822,1624,29077,1272,42748,1674,48140,1912,34472,1477,733600,6210,158826,3240,314342,4674,229076,3594,405795,4990,189052,3469,27991,1794,19405,1358
04000US19,Iowa,2104864,892,1029626,849,8482,576,3217,380,5755,577,14719,955,9423,669,13018,776,16754,761,13524,622,338216,3479,70961,1701,138750,2418,108847,2181,192125,3212,59742,1712,21227,1121,14866,866,1075238,786,8683,653,2895,392,4941,625,12637,758,8654,647,10740,620,15034,988,9925,637,309155,2827,80817,1813,142953,2127,139649,2409,222923,2697,80685,2023,14147,935,11400,818
04000US20,Kansas,1911990,1153,936049,966,10383,912,4519,575,7948,701,11502,657,10483,759,12877,883,15341,786,15290,852,254740,2965,69712,1699,140876,2522,73907,1922,195031,3154,77213,2185,22017,980,14210,814,975941,779,9599,825,3731,450,6696,600,11866,665,9238,985,11162,605,12919,742,11819,850,239486,3310,81063,1659,143710,2540,94510,2024,215313,3017,99045,1901,15181,759,10603,844
04000US21,Kentucky,3034491,1445,1463631,1161,17242,993,6242,601,11633,848,44900,1404,30773,1602,36171,1397,34435,1598,24232,1191,508889,4104,94413,2529,203833,3108,101782,2754,217129,3550,84860,2336,29752,1171,17345,941,1570860,975,15362,944,4446,619,8763,684,43397,1803,25725,1169,34617,1297,30799,1546,20905,1367,481307,4504,109326,2717,227756,3644,158211,3071,230755,3348,138726,3278,26059,1268,14706,963
04000US22,Louisiana,3139520,1281,1500520,1120,20335,1742,6774,725,16635,1046,37241,1515,33733,1379,44834,1967,51637,2227,28965,1462,526718,5843,80773,2692,230892,3865,84749,2757,219405,3993,69788,1961,30579,1643,17462,1102,1639000,974,19048,1261,5204,680,12465,1092,29789,1745,26186,1363,37062,1311,46385,1916,27883,1467,517638,5045,99127,3137,254689,4588,120211,3095,280593,5965,125891,3447,23570,1727,13259,1210
04000US23,Maine,982385,504,472306,416,2481,318,857,191,1371,261,7747,702,5372,618,6638,569,6783,670,6138,566,159294,2797,29678,1339,61296,1700,44725,1541,88526,2230,32894,1249,11342,728,7164,619,510079,403,2806,416,742,215,886,207,5328,453,4215,480,5758,590,5187,562,4216,472,148163,2470,30832,1278,67020,1883,55677,1584,111220,2376,52998,1447,8824,613,6207,548
04000US24,Maryland,4164698,731,1971337,620,30576,1830,12253,1134,18368,1254,22517,1348,24668,1342,29746,1552,30576,1232,36049,1448,502982,5550,114616,2548,246045,4155,114657,2659,423294,4305,232771,3785,69545,1930,62674,1817,2193361,478,28939,1530,9808,870,17125,1065,21544,1270,18472,1108,28433,1503,29968,1392,33986,1389,503026,5078,137852,3138,281073,4427,168241,2994,484229,4873,320863,4336,60687,1861,49115,1770
04000US25,Massachusetts,4815331,646,2295142,585,33005,1392,14298,982,18338,1010,29984,1410,23093,1295,29924,1523,28465,1410,37181,1506,579178,6532,110159,2612,237547,3662,148567,3036,560775,5643,287052,4468,77357,2233,80219,2261,2520189,445,38934,1499,18045,1004,19452,1129,29994,1430,21610,1067,28259,1386,25873,1275,33339,1647,554180,5592,127544,2914,263010,4340,221210,3120,620678,5434,388320,4579,69785,2061,59956,1940
04000US26,Michigan,6853674,796,3314909,741,37265,1499,7599,656,15525,1090,34978,1378,31529,1308,56891,1918,68853,2022,58028,1717,982549,7466,252925,3574,518240,4584,270875,3816,594043,5106,260942,3812,75360,2046,49307,1393,3538765,725,37649,1499,8034,629,13455,862,32343,1065,28596,1171,51675,1803,62843,2050,51050,1369,973105,5497,274644,4552,541840,5478,388052,4319,657074,6003,331363,4188,52634,1845,34408,1374
04000US27,Minnesota,3802438,996,1872258,873,21270,973,4509,518,7485,845,16973,936,12687,735,19400,989,22968,773,27868,1305,482066,4720,117781,2272,272232,3490,203964,3125,436916,4300,147690,2178,47623,1391,30826,1234,1930180,789,26819,1148,4572,478,6999,628,16203,895,9577,776,14459,903,18917,961,21625,911,439132,4015,132507,2214,266906,3343,236944,3331,482143,3931,191527,3184,36506,1442,25344,1098
04000US28,Mississippi,1983112,1576,934794,1327,13333,1040,5106,684,8628,720,22735,1219,22735,1240,30335,1472,32619,1474,20995,1311,302749,4405,55135,2040,148358,3147,82419,2663,118293,2847,43995,1583,16463,978,10896,790,1048318,991,10857,875,3638,469,7641,767,20870,1255,18027,1102,25702,1346,30533,1579,17281,1141,294165,4136,63949,2185,173267,3071,120836,2939,156273,3573,82388,2432,13445,902,9446,906
04000US29,Missouri,4176792,1622,2007274,1226,18716,1166,3964,450,7478,593,31197,1186,25358,1301,38698,1614,41448,1632,34649,1550,649359,5466,140894,2845,291426,4150,143272,3204,363832,4496,142611,3196,44035,1603,30337,1242,2169518,1234,17440,1074,3786,492,6051,715,32701,1219,24388,1322,36870,1565,41817,1804,28484,1144,626628,5537,163754,3154,324441,5261,193389,3159,406427,4738,208364,3230,32197,1392,22781,1117
04000US30,Montana,734688,716,364586,561,1614,279,288,106,457,135,4444,489,2643,371,4663,552,5389,509,4917,462,108679,1942,24204,852,59104,1807,31091,1160,77925,1751,24002,964,9187,772,5979,587,370102,612,1400,317,287,101,410,129,3677,478,2141,287,3605,428,4657,515,3636,379,97527,1905,25602,1174,62579,1680,38178,1298,85258,1959,30747,1204,6282,671,4116,483
04000US31,Nebraska,1259540,702,619121,688,8990,770,3201,425,5859,622,7422,638,6250,581,7004,564,8845,584,9303,622,167268,2182,43710,1388,92575,2133,67094,1684,125293,1786,43252,1210,13742,741,9313,632,640419,628,7746,680,3017,436,4958,584,6625,516,5506,533,5805,463,7965,553,7688,590,156830,2412,50529,1373,98524,1947,67511,1555,144019,2204,56434,1368,9858,668,7404,577
04000US32,Nevada,2093820,511,1040874,454,18106,1036,6932,792,18971,1133,10259,780,15392,1003,15057,1143,21259,1221,32424,1446,299153,3981,76322,2056,183776,3068,82096,2496,169425,3145,58256,1891,21644,992,11802,755,1052946,328,19464,1249,7915,817,18166,1188,12141,820,13432,736,15592,1010,20887,1381,28002,1346,285545,3251,83257,2666,182612,3505,94063,2248,179080,3114,70468,2146,13945,878,8377,736
